"customerID","Contract","tenure","MonthlyCharges","TechSupport","churn_flag","churn_risk_score","churn_risk_level"
"5948-UJZLF",Month-to-month,2,49.25,No,0,7,High
"7760-OYPDY",Month-to-month,2,80.65,No,1,7,High
"7639-LIAYI",Two year,52,79.75,Yes,0,5,High
"2954-PIBKO",Two year,69,64.15,Yes,0,2,Low
"8012-SOUDQ",Month-to-month,43,90.25,No,0,7,High
"9420-LOJKX",Month-to-month,15,99.1,No,1,7,High
"6575-SUVOI",Month-to-month,25,69.5,Yes,0,2,Low
"7495-OOKFY",Month-to-month,8,80.65,No,1,7,High
"4667-QONEA",One year,60,74.85,Yes,0,5,High
"1658-BYGOY",Month-to-month,18,95.45,No,1,7,High
"8769-KKTPH",One year,63,99.65,No,0,7,High
"5067-XJQFU",One year,66,108.45,Yes,0,7,High
"3957-SQXML",Two year,34,24.95,No internet service,0,2,Low
"5954-BDFSG",Two year,72,107.5,Yes,0,7,High
"0434-CSFON",Month-to-month,47,100.5,No,0,7,High
"1215-FIGMP",Month-to-month,60,89.9,No,0,7,High
"0526-SXDJP",Two year,72,42.1,No,0,2,Low
"0557-ASKVU",One year,18,54.4,Yes,0,2,Low
"5698-BQJOH",Month-to-month,9,94.4,No,1,7,High
"5122-CYFXA",Month-to-month,3,75.3,Yes,0,7,High
"8627-ZYGSZ",One year,47,78.9,No,0,5,High
"3410-YOQBQ",Two year,31,79.2,Yes,0,5,High
"3170-NMYVV",Two year,50,20.15,No internet service,0,2,Low
"7410-OIEDU",Month-to-month,10,79.85,No,0,5,High
"2273-QCKXA",Month-to-month,1,49.05,Yes,0,7,High
"0731-EBJQB",One year,52,20.4,No internet service,0,2,Low
"1891-QRQSA",Two year,64,111.6,Yes,0,7,High
"8028-PNXHQ",Two year,62,24.25,No internet service,0,2,Low
"5630-AHZIL",Month-to-month,3,64.5,Yes,0,7,High
"2673-CXQEU",One year,56,110.5,No,0,7,High
"6416-JNVRK",One year,46,55.65,No,0,2,Low
"5590-ZSKRV",Month-to-month,8,54.65,No,0,4,Medium
"0191-ZHSKZ",Month-to-month,30,74.75,No,0,5,High
"3887-PBQAO",One year,45,25.9,No internet service,0,2,Low
"5919-TMRGD",Month-to-month,1,79.35,No,1,7,High
"8108-UXRQN",Month-to-month,11,50.55,No,0,4,Medium
"9191-MYQKX",Month-to-month,7,75.15,No,1,5,High
"9919-YLNNG",Month-to-month,42,103.8,Yes,0,7,High
"0318-ZOPWS",Two year,49,20.15,No internet service,0,2,Low
"4445-ZJNMU",Month-to-month,9,99.3,No,0,7,High
"4808-YNLEU",One year,35,62.15,No,0,2,Low
"1862-QRWPE",Two year,48,20.65,No internet service,0,2,Low
"2796-NNUFI",Two year,46,19.95,No internet service,0,2,Low
"3016-KSVCP",Month-to-month,29,33.75,No,0,2,Low
"4767-HZZHQ",Month-to-month,30,82.05,No,0,7,High
"2424-WVHPL",Month-to-month,1,74.7,Yes,0,7,High
"7233-PAHHL",Two year,66,84.0,Yes,0,7,High
"6067-NGCEU",Month-to-month,65,111.05,No,0,7,High
"9848-JQJTX",Two year,72,100.9,No,0,7,High
"8637-XJIVR",Month-to-month,12,78.95,No,1,5,High
"9803-FTJCG",One year,71,66.85,Yes,0,2,Low
"0278-YXOOG",Month-to-month,5,21.05,No internet service,1,7,High
"3212-KXOCR",Two year,52,21.0,No internet service,0,2,Low
"4598-XLKNJ",Month-to-month,25,98.5,No,1,7,High
"6380-ARCEH",Month-to-month,1,20.2,No internet service,0,7,High
"3679-XASPY",Month-to-month,1,19.45,No internet service,0,7,High
"7123-WQUHX",One year,38,95.0,Yes,0,7,High
"5386-THSLQ",One year,66,45.55,No,0,2,Low
"3192-NQECA",Two year,68,110.0,Yes,1,7,High
"6180-YBIQI",Month-to-month,5,24.3,No,0,7,High
"6728-DKUCO",One year,72,104.15,No,0,7,High
"9750-BOOHV",One year,32,30.15,No,0,2,Low
"8597-CWYHH",One year,43,94.35,No,0,7,High
"2848-YXSMW",Two year,72,19.4,No internet service,0,2,Low
"0486-HECZI",Month-to-month,55,96.75,No,1,7,High
"4549-ZDQYY",One year,52,57.95,Yes,0,2,Low
"5712-AHQNN",Month-to-month,43,91.65,No,0,7,High
"4846-WHAFZ",Month-to-month,37,76.5,No,1,5,High
"5256-SKJGO",Two year,64,54.6,Yes,0,2,Low
"3071-VBYPO",Month-to-month,3,89.85,No,0,7,High
"9560-BBZXK",Two year,36,31.05,No,0,2,Low
"5299-RULOA",Month-to-month,10,100.25,No,1,7,High
"8402-OOOHJ",Two year,41,20.65,No internet service,0,2,Low
"9445-ZUEQE",Month-to-month,27,85.2,Yes,0,7,High
"1091-SOZGA",One year,56,99.8,No,0,7,High
"2928-HLDBA",Month-to-month,6,20.7,No internet service,0,4,Medium
"0404-SWRVG",Month-to-month,3,74.4,No,1,7,High
"6497-TILVL",Month-to-month,7,50.7,No,0,4,Medium
"7219-TLZHO",Month-to-month,4,20.85,No internet service,0,7,High
"4622-YNKIJ",Two year,33,88.95,Yes,0,7,High
"4412-YLTKF",Month-to-month,27,78.05,No,1,5,High
"6734-PSBAW",Two year,72,23.55,No internet service,0,2,Low
"3930-ZGWVE",Month-to-month,1,19.75,No internet service,0,7,High
"2639-UGMAZ",One year,71,56.45,No,0,2,Low
"2876-GZYZC",Month-to-month,13,85.95,No,0,7,High
"6207-WIOLX",Month-to-month,25,58.6,No,1,2,Low
"8587-XYZSF",Two year,67,50.55,Yes,0,2,Low
"3091-FYHKI",Month-to-month,1,35.45,No,1,7,High
"2372-HWUHI",Month-to-month,2,44.35,No,1,7,High
"7799-LGRDP",Two year,43,25.7,No internet service,0,2,Low
"7850-VWJUU",Month-to-month,23,75.0,No,0,5,High
"3774-VBNXY",Two year,64,20.2,No internet service,0,2,Low
"6217-KDYWC",Two year,57,19.6,No internet service,0,2,Low
"0390-DCFDQ",Month-to-month,1,70.45,No,1,7,High
"3146-MSEGF",Two year,72,88.05,Yes,0,7,High
"4080-OGPJL",Month-to-month,8,71.15,Yes,1,5,High
"1095-WGNGG",Two year,61,101.05,No,0,7,High
"2636-SJDOU",One year,64,84.3,No,0,7,High
"1131-QQZEB",Two year,71,23.95,No internet service,0,2,Low
"5716-EZXZN",Two year,65,99.05,Yes,0,7,High
"6837-BJYDQ",One year,3,19.6,No internet service,0,4,Medium
"2135-RXIHG",Month-to-month,1,45.65,No,1,7,High
"6440-DKQGE",One year,30,64.5,No,0,2,Low
"3466-BYAVD",Month-to-month,15,69.5,Yes,0,2,Low
"3780-YVMFA",Month-to-month,8,68.55,Yes,0,4,Medium
"3874-EQOEP",Month-to-month,7,95.0,No,1,7,High
"1679-JRFBR",One year,70,108.15,No,0,7,High
"9073-ZZIAY",Two year,62,86.1,Yes,0,7,High
"3077-RSNTJ",Month-to-month,6,19.7,No internet service,0,4,Medium
"6551-GNYDG",Month-to-month,14,80.9,No,0,7,High
"9167-APMXZ",Month-to-month,22,84.15,No,0,7,High
"2749-CTKAJ",One year,22,20.15,No internet service,0,2,Low
"6371-NZYEG",Two year,16,64.25,No,0,2,Low
"7554-NEWDD",Two year,10,25.7,No internet service,0,4,Medium
"8992-VONJD",Month-to-month,13,56.0,No,0,2,Low
"0867-MKZVY",Month-to-month,20,82.4,No,1,7,High
"4482-EWFMI",Month-to-month,2,69.7,No,0,7,High
"4648-YPBTM",Two year,53,73.9,Yes,0,5,High
"2907-ILJBN",One year,11,20.6,No internet service,0,4,Medium
"6345-FZOQH",Two year,69,19.9,No internet service,0,2,Low
"3376-BMGFE",Month-to-month,4,70.9,No,1,7,High
"5997-OPVFA",Two year,72,89.05,Yes,0,7,High
"3445-HXXGF",Month-to-month,58,45.3,No,1,2,Low
"1159-WFSGR",Month-to-month,16,20.4,No internet service,0,2,Low
"7654-YWJUF",One year,43,84.25,Yes,0,7,High
"1875-QIVME",Month-to-month,2,104.4,Yes,1,7,High
"6727-IOTLZ",Two year,14,81.95,Yes,0,7,High
"0691-JVSYA",One year,53,94.85,No,1,7,High
"5918-VUKWP",One year,32,20.55,No internet service,0,2,Low
"1744-JHKYS",Month-to-month,34,24.7,No internet service,0,2,Low
"2656-FMOKZ",Month-to-month,15,74.45,No,1,5,High
"2070-FNEXE",Month-to-month,7,76.45,No,1,5,High
"5947-SGKCL",Month-to-month,15,105.35,No,0,7,High
"3712-PKXZA",One year,61,20.55,No internet service,0,2,Low
"6317-YPKDH",Month-to-month,1,29.95,No,1,7,High
"6582-OIVSP",Month-to-month,1,45.3,No,0,7,High
"9367-WXLCH",Month-to-month,8,84.5,No,1,7,High
"5524-KHNJP",One year,33,74.75,No,0,5,High
"1918-ZBFQJ",Month-to-month,13,79.25,No,1,5,High
"1024-GUALD",Month-to-month,1,24.8,No,1,7,High
"4827-USJHP",Month-to-month,20,51.8,No,0,2,Low
"8167-GJLRN",Month-to-month,3,30.4,Yes,0,7,High
"0956-SYCWG",One year,13,19.65,No internet service,0,2,Low
"8017-UVSZU",Month-to-month,40,56.6,No,0,2,Low
"7100-FQPRV",One year,43,71.9,Yes,0,5,High
"2472-OVKUP",Month-to-month,6,91.0,No,1,7,High
"2984-RGEYA",Two year,69,19.75,No internet service,0,2,Low
"9680-NIAUV",Two year,72,109.7,No,0,7,High
"2146-EGVDT",Two year,59,19.3,No internet service,0,2,Low
"2604-IJPDU",Month-to-month,20,96.55,Yes,0,7,High
"9178-JHUVJ",Two year,24,24.1,No internet service,0,2,Low
"6168-YBYNP",Month-to-month,59,111.35,Yes,0,7,High
"7255-SSFBC",Two year,72,112.25,Yes,0,7,High
"3645-DEYGF",Month-to-month,1,20.75,No internet service,0,7,High
"9323-HGFWY",One year,27,101.9,Yes,0,7,High
"8544-GOQSH",Month-to-month,14,80.05,Yes,0,7,High
"3363-DTIVD",Two year,71,105.55,No,0,7,High
"7018-WBJNK",Month-to-month,13,78.3,No,0,5,High
"9142-KZXOP",Month-to-month,44,68.85,No,0,2,Low
"7674-YTAFD",One year,33,79.95,Yes,0,5,High
"6348-SNFUS",Two year,72,55.45,Yes,0,2,Low
"1285-OKIPP",Month-to-month,1,79.9,No,1,7,High
"7825-ECJRF",Month-to-month,19,106.6,Yes,1,7,High
"1347-KTTTA",One year,64,102.45,Yes,0,7,High
"7841-TZDMQ",Month-to-month,2,46.0,No,1,7,High
"4195-NZGTA",Month-to-month,1,25.25,No,0,7,High
"7157-SMCFK",Two year,61,19.75,No internet service,0,2,Low
"4709-LKHYG",One year,29,20.0,No internet service,0,2,Low
"2504-DSHIH",Month-to-month,23,86.8,No,0,7,High
"0699-NDKJM",Month-to-month,57,58.75,No,0,2,Low
"9286-BHDQG",Two year,72,45.25,Yes,0,2,Low
"0230-WEQUW",Two year,66,56.6,Yes,0,2,Low
"2040-LDIWQ",Two year,65,84.2,Yes,0,7,High
"6496-JDSSB",Month-to-month,8,80.0,No,0,5,High
"9408-SSNVZ",Month-to-month,4,70.15,No,1,7,High
"4443-EMBNA",Two year,71,24.75,No internet service,0,2,Low
"6469-MRVET",One year,1,20.2,No internet service,0,4,Medium
"0742-MOABM",Month-to-month,4,50.05,Yes,1,7,High
"5961-VUSRV",One year,12,19.35,No internet service,0,2,Low
"6778-JFCMK",One year,24,50.6,No,0,2,Low
"6341-JVQGF",One year,31,81.15,Yes,0,7,High
"2232-DMLXU",Month-to-month,1,55.2,No,1,7,High
"4811-JBUVU",Month-to-month,30,89.9,Yes,0,7,High
"0945-TSONX",Two year,47,85.3,Yes,0,7,High
"2651-ZCBXV",Two year,54,108.0,Yes,0,7,High
"3316-UWXUY",Month-to-month,50,93.5,Yes,0,7,High
"8937-RDTHP",Month-to-month,1,84.6,No,1,7,High
"7083-MIOPC",Two year,72,20.25,No internet service,0,2,Low
"1984-GPTEH",Month-to-month,29,25.15,No internet service,0,2,Low
"1251-KRREG",Month-to-month,2,54.4,No,1,7,High
"0621-JFHOL",Two year,10,29.6,Yes,0,4,Medium
"9903-LYSAB",Month-to-month,18,73.15,No,0,5,High
"0094-OIFMO",Month-to-month,11,95.0,No,1,7,High
"9227-UAQFT",Two year,16,19.75,No internet service,0,2,Low
"7301-ABVAD",Two year,72,86.6,Yes,0,7,High
"6614-FHDBO",Two year,72,109.2,Yes,0,7,High
"7576-ASEJU",One year,41,74.7,Yes,0,5,High
"9058-HRZSV",Month-to-month,65,94.4,No,0,7,High
"4522-AKYLR",Month-to-month,13,54.8,No,0,2,Low
"0221-WMXNQ",Month-to-month,4,75.35,No,0,7,High
"0303-UNCIP",One year,41,65.0,No,0,2,Low
"9947-OTFQU",Month-to-month,15,74.4,No,1,5,High
"0322-YINQP",Month-to-month,1,48.55,No,1,7,High
"0959-WHOKV",One year,42,99.0,No,0,7,High
"4075-JFPGR",One year,51,93.5,No,0,7,High
"4629-NRXKX",Month-to-month,2,70.4,No,1,7,High
"9514-JDSKI",Month-to-month,1,40.2,No,1,7,High
"3282-ZISZV",One year,32,83.7,Yes,0,7,High
"3675-YDUPJ",Month-to-month,10,19.85,No internet service,0,4,Medium
"4111-BNXIF",Two year,67,59.55,Yes,0,2,Low
"7017-VFHAY",Two year,61,115.1,Yes,0,7,High
"6655-LHBYW",One year,50,114.35,Yes,0,7,High
"4959-JOSRX",Month-to-month,2,44.6,No,1,7,High
"5046-NUHWD",Month-to-month,29,45.0,No,0,2,Low
"7273-TEFQD",Month-to-month,3,41.15,No,1,7,High
"3606-TWKGI",Month-to-month,13,106.9,No,1,7,High
"7529-ZDFXI",Month-to-month,57,89.85,No,0,7,High
"7605-BDWDC",Two year,31,49.85,Yes,0,2,Low
"1950-KSVVJ",One year,45,113.3,Yes,0,7,High
"0123-CRBRT",Two year,61,88.1,Yes,0,7,High
"6292-TOSSS",Two year,50,24.9,No internet service,0,2,Low
"3197-ARFOY",Month-to-month,19,105.0,Yes,0,7,High
"6323-AYBRX",Two year,59,19.35,No internet service,1,2,Low
"7014-ZZXAW",Two year,71,24.25,No internet service,0,2,Low
"4385-GZQXV",Month-to-month,16,94.45,Yes,1,7,High
"7633-MVPUY",Two year,57,59.75,Yes,0,2,Low
"6366-ZGQGL",Month-to-month,1,24.8,No,1,7,High
"4716-HHKQH",Month-to-month,20,107.05,Yes,0,7,High
"5940-AHUHD",Month-to-month,1,70.6,No,1,7,High
"6432-TWQLB",Month-to-month,5,85.4,Yes,1,7,High
"4484-GLZOU",Month-to-month,52,105.05,No,1,7,High
"3179-GBRWV",Month-to-month,21,64.95,No,0,2,Low
"8645-KWHJO",Month-to-month,14,55.0,Yes,0,2,Low
"4130-MZLCC",Month-to-month,5,50.55,No,0,7,High
"0314-TKOSI",Month-to-month,6,55.15,No,0,4,Medium
"8229-MYEJZ",Month-to-month,10,51.2,No,0,4,Medium
"2080-SRCDE",Month-to-month,1,25.4,No internet service,0,7,High
"9577-WJVCQ",Month-to-month,68,54.45,No,0,2,Low
"9512-UIBFX",Month-to-month,18,95.15,No,1,7,High
"6202-DYYFX",One year,22,76.0,No,0,5,High
"3808-HFKDE",Month-to-month,20,44.35,No,0,2,Low
"5583-SXDAG",Month-to-month,1,70.0,No,1,7,High
"3488-PGMQJ",Month-to-month,8,74.5,No,1,5,High
"3580-REOAC",Month-to-month,10,44.85,No,1,4,Medium
"7534-BFESC",Month-to-month,24,76.1,No,1,5,High
"3727-OWVYD",One year,35,61.2,No,0,2,Low
"2294-SALNE",One year,23,86.8,Yes,0,7,High
"4847-TAJYI",Month-to-month,6,89.35,No,0,7,High
"1563-IWQEX",Month-to-month,12,19.7,No internet service,0,2,Low
"8203-XJZRC",Month-to-month,1,20.25,No internet service,0,7,High
"6556-DBKZF",Two year,71,76.05,No,0,5,High
"6851-WEFYX",Month-to-month,35,100.8,No,0,7,High
"2985-JUUBZ",Month-to-month,40,74.55,No,0,5,High
"6390-DSAZX",Month-to-month,1,73.6,No,1,7,High
"0895-LMRSF",One year,23,64.9,No,0,2,Low
"8098-LLAZX",Month-to-month,4,95.45,No,1,7,High
"8266-VBFQL",Month-to-month,4,90.4,Yes,0,7,High
"8181-YHCMF",Two year,68,60.3,Yes,0,2,Low
"2240-HSJQD",Month-to-month,38,81.85,No,0,7,High
"1248-DYXUB",Two year,52,24.8,No internet service,0,2,Low
"0265-EDXBD",Month-to-month,32,74.9,No,1,5,High
"4115-BNPJY",Two year,29,75.55,Yes,0,5,High
"3167-SNQPL",Month-to-month,38,101.15,No,0,7,High
"4091-TVOCN",One year,48,78.75,No,0,5,High
"1098-TDVUQ",Month-to-month,1,19.25,No internet service,0,7,High
"7277-OZCGZ",Month-to-month,22,89.05,Yes,0,7,High
"1557-EMYVT",Two year,43,115.05,Yes,0,7,High
"2799-ARNLO",Month-to-month,5,69.35,No,0,7,High
"7563-BIUPC",Month-to-month,5,80.6,No,1,7,High
"5027-YOCXN",One year,51,110.05,Yes,0,7,High
"3973-SKMLN",Two year,71,19.9,No internet service,0,2,Low
"2321-OMBXY",One year,38,80.3,Yes,1,7,High
"2840-XANRC",Month-to-month,24,93.15,No,1,7,High
"6745-JEFZB",Month-to-month,35,91.5,Yes,0,7,High
"5020-ZSTTY",One year,54,82.45,Yes,1,7,High
"9880-TDQAC",Two year,72,60.0,Yes,0,2,Low
"8705-WZCYL",Month-to-month,1,44.8,No,0,7,High
"7102-JJVTX",One year,9,48.6,No,0,4,Medium
"8626-PTQGE",Two year,69,60.05,Yes,0,2,Low
"4983-CLMLV",Month-to-month,52,102.7,Yes,0,7,High
"5701-YVSVF",Month-to-month,11,82.9,Yes,0,7,High
"5804-LEPIM",Month-to-month,2,70.35,No,1,7,High
"5697-GOMBF",Month-to-month,28,35.9,No,0,2,Low
"2739-CACDQ",Month-to-month,17,82.65,No,0,7,High
"9385-EHGDO",Two year,35,19.85,No internet service,0,2,Low
"9498-FIMXL",One year,8,19.2,No internet service,0,4,Medium
"2379-GYFLQ",One year,46,94.9,No,0,7,High
"0122-OAHPZ",Month-to-month,7,73.85,No,1,5,High
"2868-SNELZ",Month-to-month,2,80.6,No,1,7,High
"4322-RCYMT",One year,68,75.8,Yes,1,5,High
"6680-NENYN",Two year,43,104.6,No,1,7,High
"2088-IEBAU",Two year,68,88.15,Yes,0,7,High
"7982-VCELR",Month-to-month,36,94.8,No,0,7,High
"1343-EHPYB",Month-to-month,63,103.4,No,1,7,High
"6035-BXTTY",Month-to-month,32,54.65,Yes,0,2,Low
"6885-PKOAM",Two year,71,85.75,Yes,0,7,High
"7520-HQWJU",Month-to-month,66,67.45,No,0,2,Low
"9639-BUJXT",One year,63,20.5,No internet service,0,2,Low
"5924-SNGKP",One year,41,20.25,No internet service,0,2,Low
"0021-IKXGC",Month-to-month,1,72.1,No,0,7,High
"2034-GDRCN",Month-to-month,2,90.4,No,1,7,High
"8966-SNIZF",Two year,70,19.45,No internet service,0,2,Low
"6243-OZGFH",Month-to-month,23,44.95,No,0,2,Low
"4654-DLAMQ",One year,64,97.0,No,0,7,High
"0513-RBGPE",Two year,37,62.8,Yes,0,2,Low
"5160-UXJED",One year,17,44.6,No,0,2,Low
"4115-NZRKS",Month-to-month,7,89.15,No,0,7,High
"0219-YTZUE",Month-to-month,4,84.8,No,1,7,High
"0623-IIHUG",Month-to-month,21,41.9,No,1,2,Low
"4572-DVCGN",Month-to-month,10,80.25,No,1,7,High
"3351-NGXYI",Month-to-month,16,54.1,No,0,2,Low
"8984-EYLLL",Two year,64,105.25,Yes,0,7,High
"9057-MSWCO",Month-to-month,27,30.75,No,1,2,Low
"9833-TGFHX",One year,42,97.1,No,0,7,High
"9294-TDIPC",Month-to-month,5,20.2,No internet service,0,7,High
"5229-DTFYB",Two year,41,98.8,Yes,0,7,High
"0104-PPXDV",One year,58,50.3,No,0,2,Low
"5176-LMJXE",Two year,47,20.55,No internet service,0,2,Low
"3583-KRKMD",Month-to-month,18,75.9,Yes,0,5,High
"1010-DIAUQ",Month-to-month,5,96.5,No,1,7,High
"9069-LGEUL",Month-to-month,23,59.95,No,0,2,Low
"7302-ZHMHP",Month-to-month,1,19.15,No internet service,0,7,High
"9571-EDEBV",One year,71,98.65,No,0,7,High
"3520-FJGCV",Two year,72,112.6,Yes,0,7,High
"6563-VRERX",One year,33,20.6,No internet service,0,2,Low
"0259-GBZSH",Month-to-month,2,85.65,No,1,7,High
"6122-EFVKN",Two year,24,35.75,Yes,0,2,Low
"2805-EDJPQ",One year,56,99.75,Yes,0,7,High
"6862-CQUMB",Month-to-month,37,96.1,No,0,7,High
"7156-MXBJE",One year,43,85.1,Yes,0,7,High
"6158-HDPXZ",Month-to-month,1,25.35,No,0,7,High
"9601-BRXPO",Month-to-month,25,104.95,Yes,1,7,High
"2863-IMQDR",Two year,61,89.65,Yes,0,7,High
"5686-CMAWK",One year,17,86.75,Yes,0,7,High
"5651-CRHKQ",One year,41,86.2,Yes,0,7,High
"6905-NIQIN",Month-to-month,1,50.65,No,1,7,High
"8204-YJCLA",Two year,72,64.8,Yes,0,2,Low
"5167-ZFFMM",Month-to-month,1,90.85,No,1,7,High
"6583-SZVGP",Two year,48,108.1,No,0,7,High
"4895-TMWIR",Month-to-month,11,19.95,No internet service,1,4,Medium
"0533-BNWKF",Month-to-month,55,85.45,No,1,7,High
"1708-PBBOA",One year,42,54.75,Yes,0,2,Low
"8782-LKFPK",Month-to-month,44,90.4,No,0,7,High
"5522-JBWMO",Month-to-month,1,44.0,No,0,7,High
"3597-MVHJT",Month-to-month,27,95.6,No,0,7,High
"9774-NRNAU",Month-to-month,27,84.8,Yes,0,7,High
"0224-RLWWD",Month-to-month,2,44.3,No,0,7,High
"9967-ATRFS",Month-to-month,19,19.9,No internet service,0,2,Low
"3951-NJCVI",Month-to-month,42,95.05,No,0,7,High
"2977-CEBSX",Two year,66,90.05,Yes,0,7,High
"0177-PXBAT",Month-to-month,33,109.9,Yes,0,7,High
"6599-CEBNN",Month-to-month,34,73.95,No,1,5,High
"2519-ERQOJ",Month-to-month,33,54.6,Yes,0,2,Low
"5876-QMYLD",One year,23,20.05,No internet service,0,2,Low
"2277-AXSDC",One year,32,19.75,No internet service,0,2,Low
"9442-JTWDL",One year,11,20.05,No internet service,0,4,Medium
"0979-PHULV",Month-to-month,69,99.45,No,1,7,High
"3067-SVMTC",One year,68,55.9,Yes,0,2,Low
"5495-GPSRW",Two year,20,19.7,No internet service,0,2,Low
"7606-BPHHN",Two year,72,19.8,No internet service,0,2,Low
"4742-DRORA",One year,60,95.4,No,0,7,High
"0111-KLBQG",Month-to-month,32,93.95,No,0,7,High
"4800-VHZKI",Month-to-month,1,19.9,No internet service,1,7,High
"7989-CHGTL",Month-to-month,1,19.6,No internet service,1,7,High
"0334-GDDSO",Month-to-month,3,81.35,No,1,7,High
"4163-NCJAK",One year,46,24.45,No internet service,0,2,Low
"5233-AOZUF",Month-to-month,29,74.95,No,0,5,High
"5973-EJGDP",Month-to-month,51,87.35,Yes,0,7,High
"1996-DBMUS",Month-to-month,48,70.65,No,0,5,High
"7916-VCCPB",Month-to-month,16,73.25,No,0,5,High
"4686-GEFRM",Two year,70,98.7,Yes,0,7,High
"5249-QYHEX",Two year,40,24.8,No internet service,0,2,Low
"0578-SKVMF",Month-to-month,22,83.3,No,1,7,High
"5564-NEMQO",Month-to-month,1,75.3,No,1,7,High
"2233-FAGXV",Month-to-month,5,24.3,No internet service,0,7,High
"5605-IYGFG",Month-to-month,7,69.85,No,0,4,Medium
"7663-ZTEGJ",One year,29,100.55,Yes,0,7,High
"3935-TBRZZ",One year,44,25.7,No internet service,0,2,Low
"8111-BKVDS",Month-to-month,10,40.7,No,0,4,Medium
"2055-SIFSS",Month-to-month,55,51.65,No,0,2,Low
"2806-MLNTI",One year,52,105.1,No,0,7,High
"8734-DKSTZ",Month-to-month,10,85.95,No,0,7,High
"4360-PNRQB",Month-to-month,18,75.6,No,0,5,High
"6152-ONASV",One year,68,58.25,Yes,0,2,Low
"9063-ZGTUY",Month-to-month,61,19.4,No internet service,1,2,Low
"7781-HVGMK",Two year,72,65.2,Yes,0,2,Low
"2181-UAESM",Month-to-month,2,53.45,No,0,7,High
"2957-LOLHO",Month-to-month,12,45.4,No,1,2,Low
"6048-NJXHX",Two year,41,19.75,No internet service,0,2,Low
"2320-SLKMB",Month-to-month,26,44.45,Yes,0,2,Low
"4980-URKXC",One year,36,20.85,No internet service,0,2,Low
"4376-KFVRS",Two year,72,114.05,Yes,0,7,High
"5886-VLQVU",Month-to-month,35,89.85,Yes,0,7,High
"3577-AMVUX",Month-to-month,1,55.05,Yes,0,7,High
"0771-WLCLA",Month-to-month,16,112.95,Yes,0,7,High
"5628-RKIFK",Month-to-month,49,101.55,No,0,7,High
"0206-TBWLC",One year,54,114.65,Yes,0,7,High
"2937-FTHUR",Month-to-month,18,64.8,No,0,2,Low
"1910-FMXJM",Month-to-month,36,80.4,No,0,7,High
"7752-XUSCI",Month-to-month,60,105.9,No,1,7,High
